Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
AECS Layout,676398,671200,554146,225651,222152,131372,0.992,0.826,0.407,0.984,90735,0.408,0.194,"₹2,16,64,546",7.79,₹141.87,1221715,12.964118,77.7130369
Banasavadi,399496,396889,320276,196872,193129,129571,0.994,0.807,0.615,0.981,63520,0.329,0.324,"₹1,81,19,313",7.33,₹131.58,1027738,12.6061076,76.9217046
Hennur,415505,412861,318728,206331,202957,129335,0.994,0.772,0.647,0.984,73580,0.363,0.311,"₹1,80,50,307",7.26,₹130.63,1026125,13.0258087,77.6305067
N S Palya,467723,462917,382404,202109,197602,128229,0.99,0.826,0.528,0.978,69328,0.351,0.274,"₹1,68,04,588",7.29,₹131.77,932215,12.92839245,77.6070299385418
Dodda Nekkundi,607388,602318,496200,214444,210757,127586,0.992,0.824,0.432,0.983,83119,0.394,0.21,"₹2,15,82,457",8.44,₹148.42,1235186,12.9686859,77.6966092649896
Jnana Bharathi,319314,316723,227074,186083,182666,125721,0.992,0.717,0.82,0.982,56904,0.311,0.394,"₹1,63,82,506",7.13,₹124.87,947899,12.9433485,77.5112326
Sarakki,340594,337939,269400,193160,188967,125071,0.992,0.797,0.717,0.978,63821,0.338,0.367,"₹1,49,15,086",6.07,₹111.14,813727,12.9087511,77.5798635
Subramanyapura,355850,352874,269420,186568,182249,124196,0.992,0.764,0.693,0.977,58020,0.318,0.349,"₹1,72,48,916",7.97,₹139.95,998378,12.8963963,77.5377864
Pulikeshinagar,372621,370303,305602,186689,184193,122558,0.994,0.825,0.611,0.987,61553,0.334,0.329,"₹1,46,06,750",5.85,₹110.85,795966,12.9957443,77.61173604711666
Kalkere,474310,471110,380594,195394,192404,121528,0.993,0.808,0.513,0.985,70832,0.368,0.256,"₹1,97,39,152",8.75,₹154.38,1134101,13.6973466,76.1517475
Ibluru,529396,524454,451357,196173,192428,120717,0.991,0.861,0.435,0.981,71676,0.373,0.228,"₹1,87,02,426",8.26,₹146.46,1052691,12.91216645,77.65464311500888
Kalena Agrahara,470987,465367,374447,189087,185254,120613,0.988,0.805,0.505,0.98,64607,0.349,0.256,"₹2,05,90,403",9.98,₹172.89,1198826,12.86002985,77.6122283217251
Vishveshwara Puram,387229,384832,294439,190086,186643,120170,0.994,0.765,0.646,0.982,66426,0.356,0.31,"₹1,41,85,350",6.65,₹120.04,795860,12.94531465,77.58258736538443
Rajarajeshwari Nagar,297997,295464,208838,174366,170354,119567,0.992,0.707,0.835,0.977,50761,0.298,0.401,"₹1,73,02,405",7.97,₹137.66,1013757,12.9274413,77.5155224
Hulimavu,399563,395970,317072,186245,182318,119094,0.991,0.801,0.587,0.979,63188,0.347,0.298,"₹1,72,54,752",7.91,₹141.18,979150,12.8773486,77.6028031
Mahadevapura,519993,516186,422924,197874,195067,116959,0.993,0.819,0.468,0.986,78061,0.4,0.225,"₹1,80,52,185",7.57,₹137.16,1018123,12.9934976,77.6924156
Belathur,473171,468835,359181,189652,186679,115788,0.991,0.766,0.528,0.984,70818,0.379,0.245,"₹1,97,51,448",8.71,₹153.60,1138460,13.0061889,77.7489674
Rupenaagrahara,468424,464133,386058,195007,190728,111611,0.991,0.832,0.505,0.978,79081,0.415,0.238,"₹1,67,17,199",7.96,₹142.96,948513,,
Byatarayanapura,326788,324286,247453,172205,168796,110246,0.992,0.763,0.696,0.98,58518,0.347,0.337,"₹1,73,87,578",8.48,₹148.43,1012272,13.0666526,77.591967
Jogupalya,352576,349570,298481,165972,163111,108242,0.992,0.854,0.556,0.983,54840,0.336,0.307,"₹1,38,70,184",6.39,₹118.33,764262,12.9746882,77.628026
Hemmigepura,324225,318922,224149,161678,158827,106777,0.984,0.703,0.721,0.982,52002,0.327,0.329,"₹1,57,55,609",8.48,₹146.23,924865,12.8819289,77.4854975
Babusab Palya,387542,384927,315006,171652,168721,105895,0.993,0.818,0.545,0.983,62790,0.372,0.273,"₹1,51,17,374",7.23,₹131.09,854485,13.0223417,77.6474158
Kogilu,323620,320789,221308,164071,159915,104384,0.991,0.69,0.741,0.975,55521,0.347,0.323,"₹2,05,01,848",11.34,₹190.25,1229470,13.103973,77.6167721
Konena Agrahara,398931,395259,335826,162443,159894,102850,0.991,0.85,0.484,0.984,57016,0.357,0.258,"₹1,52,86,571",8.17,₹146.20,859142,12.9586061,77.6623373
Konanakunte,288519,286472,217972,158009,154765,101021,0.993,0.761,0.725,0.979,53684,0.347,0.35,"₹1,28,39,437",6.87,₹122.45,720459,12.8792861,77.5697529
Sunkenahalli,266613,264632,207272,151687,148854,100920,0.993,0.783,0.732,0.981,47886,0.322,0.379,"₹1,21,27,955",6.41,₹114.38,686467,12.948354250000001,77.57053439887503
Kadu Malleshwara,234374,232026,177602,142192,139524,100728,0.99,0.765,0.801,0.981,38757,0.278,0.43,"₹1,29,11,553",7.26,₹127.05,743775,13.005183800000001,77.57175124237367
Subhash Nagar,312008,308910,215494,163133,160185,96108,0.99,0.698,0.757,0.982,64030,0.4,0.308,"₹1,52,44,495",8.63,₹153.30,865902,21.1233162,79.0420532
Radhakrishna Temple Ward,235760,234113,181242,142398,138698,94980,0.993,0.774,0.786,0.974,43684,0.315,0.403,"₹1,30,95,032",7.4,₹130.61,749821,13.0369829,77.57031320341127
Amrutahalli,290243,288253,221378,144297,141512,90988,0.993,0.768,0.652,0.981,50503,0.357,0.314,"₹1,44,84,899",8.49,₹149.11,840939,13.0662319,77.6007646
Nagapura,224785,222670,157606,134768,132094,90419,0.991,0.708,0.855,0.98,41635,0.315,0.402,"₹1,13,69,271",6.8,₹120.42,647417,12.8869427,77.975712
Lingarajapura,247617,246121,206967,134855,133228,89020,0.994,0.841,0.652,0.988,44176,0.332,0.359,"₹1,10,30,167",6.22,₹115.48,611475,13.1302752,77.53883451049131
Devasandra,328961,326957,269416,153505,151453,88876,0.994,0.824,0.57,0.987,62507,0.413,0.27,"₹1,44,25,616",7.7,₹139.96,793244,12.7870107,77.0996771
Arakere,297635,295178,236337,134482,131785,88063,0.992,0.801,0.569,0.98,43700,0.332,0.296,"₹1,27,50,606",7.82,₹139.77,726830,13.3996661,77.1205298
Bilekhalli,341292,337884,279585,138524,135758,86611,0.99,0.827,0.495,0.98,49113,0.362,0.254,"₹1,23,55,272",8.19,₹144.87,696746,12.8976681,77.59845826702619
Lal Bahadur Nagar,298439,296273,233434,130990,128841,85453,0.993,0.788,0.561,0.984,43354,0.337,0.286,"₹1,17,87,280",7.19,₹129.90,663330,12.96766245,77.67610377012093
Hombegowda Nagara,297006,295059,242405,134879,132613,84882,0.993,0.822,0.556,0.983,47700,0.36,0.286,"₹1,02,91,927",6.4,₹119.14,572545,12.94914525,77.59813853450976
Sanjaya Nagar,232325,230554,173003,126576,123907,84364,0.992,0.75,0.732,0.979,39515,0.319,0.363,"₹1,19,50,621",7.31,₹130.66,690457,13.035538899999999,77.582033302197
Jalakanteshwara Nagara,341355,338254,285154,127964,126460,84108,0.991,0.843,0.449,0.988,42323,0.335,0.246,"₹1,23,21,916",8.16,₹146.14,690292,12.9615738,77.5766408
Subramanya Nagar,227183,224956,167526,134840,132053,84018,0.99,0.745,0.805,0.979,47975,0.363,0.37,"₹1,16,20,465",7.33,₹130.39,658156,17.3315739,78.6108396
A Narayanapura,380520,378236,297503,150915,148604,83641,0.994,0.787,0.507,0.985,64929,0.437,0.22,"₹1,29,60,687",7.84,₹144.20,724832,12.9930799,77.6753587
Dharmaraya Swamy Temple Ward,366440,364066,297903,156645,154173,81338,0.994,0.818,0.526,0.984,72800,0.472,0.222,"₹1,17,91,632",8.25,₹144.28,677451,12.96552105,77.58318671179347
Ganesh Mandir ward,194825,193315,148871,117351,115021,81053,0.992,0.77,0.788,0.98,33945,0.295,0.416,"₹92,25,801",6.34,₹114.06,518193,12.9250985,77.55919970480537
Maruthi Seva Nagar,242742,241202,199286,122196,120619,77966,0.994,0.826,0.613,0.987,42616,0.353,0.321,"₹1,04,65,501",6.83,₹125.11,588080,13.00317,77.6326118
Yediyur,217584,215964,173558,116380,114022,77289,0.993,0.804,0.671,0.98,36701,0.322,0.355,"₹93,36,611",6.16,₹111.86,524159,13.1312237,77.6957681
RBI layout,238409,236384,191958,114847,112912,75034,0.992,0.812,0.598,0.983,37859,0.335,0.315,"₹1,03,08,499",7.74,₹138.01,586125,12.8884396,77.580509
Basavanagudi,186676,185269,141789,107661,105222,74855,0.993,0.765,0.759,0.977,30342,0.288,0.401,"₹87,39,365",5.93,₹106.91,494307,13.8345913,75.7339359
Ashoka Pillar,240165,238394,193374,116459,114382,74768,0.993,0.811,0.602,0.982,39588,0.346,0.311,"₹88,92,465",6.24,₹113.58,495915,10.2299031,77.4917867
Shanthi Nagar,295377,293117,250398,119619,117491,74214,0.992,0.854,0.478,0.982,43247,0.368,0.251,"₹88,32,651",6.12,₹113.80,489106,17.2376265,80.1450428
Hebbala,210018,208859,160264,113237,111227,74191,0.995,0.767,0.707,0.982,37015,0.333,0.353,"₹1,04,51,800",7.18,₹128.16,600960,16.4374532,75.9419779
Jakkasandra,293539,290421,234646,122559,120381,71542,0.989,0.808,0.522,0.982,48812,0.406,0.244,"₹1,00,09,357",7.65,₹137.15,561808,13.087091650000001,77.382699892682
Vasanthpura,197481,195766,146501,106645,104593,71270,0.991,0.748,0.728,0.981,33305,0.318,0.361,"₹91,66,566",7.22,₹127.94,522826,12.89527635,77.55058228260532
Chatrapati Shivaji,246998,245430,168460,123534,121287,70969,0.994,0.686,0.733,0.982,50282,0.415,0.287,"₹1,18,52,321",10.02,₹176.51,684706,19.08405305,72.88170538689442
